TableHeader	TableRow	ObjectType	Table_description	Primary_Key	
OFLT	FLT1	54	Report – Selection Criteria	FormNum, UserSign, FilterName	
OTRT	TRT1	55	Posting Templates	TrtCode	
OARG	ARG1	56	Customs Groups	CstGrpCode	
OCHO	CHO1	57	Checks for Payment	CheckKey	
OINM	INM1	58	Whse Journal	TransNum, Instance	
OIGN	IGN1	59	Goods Receipt	DocEntry	
OIGE	IGE1	60	Goods Issue	DocEntry	
OPRC	PRC1	61	Cost Center	PrcCode	
OOCR	OCR1	62	Cost Rate	OcrCode	
OPRJ	PRJ1	63	Project Codes	PrjCode	
OWHS	WHS1	64	Warehouses	WhsCode	
OCOG	COG1	65	Commission Groups	GroupCode	
OITT	ITT1	66	Product Tree	Code	
OWTR	WTR1	67	Inventory Transfer	DocEntry	
OWKO	WKO1	68	Production Instructions	OrderNum	
OIPF	IPF1	69	Landed Costs	DocEntry	
OCRP	CRP1	70	Payment Methods	CrTypeCode	
OCDT	CDT1	71	Credit Card Payment	Code	
OCRH	CRH1	72	Credit Card Management	AbsId, Instance	
OSCN	SCN1	73	Customer/Vendor Cat. No.	ItemCode, CardCode, Substitute	
OCRV	CRV1	74	Credit Payments	AbsId, PayId, Instance	
ORTT	RTT1	75	CPI and FC Rates	RateDate, Currency	
ODPT	DPT1	76	Postdated Deposit	DeposId	
OBGT	BGT1	77	Budget	AbsId	
OBGD	BGD1	78	Budget Cost Assess. Mthd	BgdCode	
ORCN	RCN1	79	Retail Chains	ChainCode	
OALT	ALT1	80	Alerts Template	Code	
OALR	ALR1	81	Alerts	Code	
OAIB	AIB1	82	Received Alerts	AlertCode, UserSign	
OAOB	AOB1	83	Message Sent	AlertCode, UserSign	
OCLS	CLS1	84	Activity Subjects	Code	
OSPG	SPG1	85	Special Prices for Groups	CardCode, ObjType, ObjKey	
SPRG	PRG1	86	Application Start	LineNum, UserCode	
OMLS	MLS1	87	Distribution List	Code	
OENT	ENT1	88	Shipping Types	DocEntry	
OSAL	SAL1	89	Outgoing	DocEntry	
OTRA	TRA1	90	Transition	DocEntry	
OBGS	BGS1	91	Budget Scenario	AbsId	
OIRT	IRT1	92	Interest Prices	Numerator	
OUDG	UDG1	93	User Defaults	Code	
OSRI	SRI1	94	Serial Numbers for Items	ItemCode, SysSerial	
OFRT	FRT1	95	Financial Report Templates	AbsId	
OFRC	FRC1	96	Financial Report Categories	TemplateId, CatId	
OOPR	OPR1	97	Opportunity	OpprId	
OOIN	OIN1	98	Interest	Num	
OOIR	OIR1	99	Interest Level	Num	
OOSR	OSR1	100	Information Source	Num	
OOST	OST1	101	Opportunity Stage	Num	
OOFR	OFR1	102	Defect Cause	Num	
OCLT	CLT1	103	Activity Types	Code	
OCLO	CLO1	104	Meetings Location	Code	
OISR	ISR1	105	Service Calls	RequestNum	
OIBT	IBT1	106	Batch No. for Item	ItemCode, BatchNum, WhsCode	
OALI	ALI1	107	Alternative Items 2	OrigItem, AltItem	
OPRT	PRT1	108	Partners	PrtId	
OCMT	CMT1	109	Competitors	CompetId	
OUVV	UVV1	110	User Validations	IndexID, LineNum	
OFPR	FPR1	111	Posting Period	AbsEntry	
ODRF	DRF1	112	Drafts	DocEntry	
OSRD	SRD1	113	Batches and Serial Numbers	ItemCode, DocType, DocEntry, DocLineNum	
OUDC	UDC1	114	User Display Cat.	CodeID	
OPVL	PVL1	115	Lender – Pelecard	Code	
ODDT	DDT1	116	Withholding Tax Deduction Hierarchy	Numerator	
ODDG	DDG1	117	Withholding Tax Deduction Groups	Numerator	
OUBR	UBR1	118	Branches	Code	
OUDP	UDP1	119	Departments	Code	
OWST	WST1	120	Confirmation Level	WstCode	
OWTM	WTM1	121	Approval Templates	WtmCode	
OWDD	WDD1	122	Docs. for Confirmation	WddCode	
OCHD	CHD1	123	Checks for Payment Drafts	CheckKey	
CINF	INF1	124	Company Info	Version	
OEXD	EXD1	125	Freight Setup	ExpnsCode	
OSTA	STA1	126	Sales Tax Authorities	Code, Type	
OSTT	STT1	127	Sales Tax Authorities Type	AbsId	
OSTC	STC1	128	Sales Tax Codes	Code	
OCRY	CRY1	129	Countries	Code	
OCST	CST1	130	States	Country, Code	
OADF	ADF1	131	Address Formats	Code	
OCIN	CIN1	132	A/R Correction Invoice	DocEntry	
OCDC	CDC1	133	Cash Discount	Code	
OQCN	QCN1	134	Query Catagories	CategoryId	
OIND	IND1	135	Triangular Deal	Code	
ODMW	DMW1	136	Data Migration	Code	
OCSTN	STN1	137	Workstation ID	Code	
OIDC	IDC1	138	Indicator	Code	
OGSP	GSP1	139	Goods Shipment	Code	
OPDF	PDF1	140	Payment Draft	DocEntry	
OQWZ	QWZ1	141	Query Wizard	Code	
OASG	ASG1	142	Account Segmentation	AbsId	
OASC	ASC1	143	Account Segmentation Categories	SegmentId, Code	
OLCT	LCT1	144	Location	Code	
OTNN	TNN1	145	1099 Forms	FormCode	
OCYC	CYC1	146	Cycle	Code	
OPYM	PYM1	147	Payment Methods for Payment Wizard	PayMethCod	
OTOB	TOB1	148	1099 Opening Balance	VendCode, Form1099, Box1099	
ORIT	RIT1	149	Dunning Interest Rate	Code	
OBPP	BPP1	150	BP Priorities	PrioCode	
ODUN	DUN1	151	Dunning Letters	LineNum	
CUFD	UFD1	152	User Fields – Description	TableID, FieldID	
OUTB	UTB1	153	User Tables	TableName	
OCUMI	UMI1	154	My Menu Items	UserSign , Id_	
OPYD	PYD1	155	Payment Run	Code	
OPKL	PKL1	156	Pick List	AbsEntry	
OPWZ	PWZ1	157	Payment Wizard	IdNumber	
OPEX	PEX1	158	Payment Results Table	AbsEntry	
OPYB	PYB1	159	Payment Block	AbsEntry	
OUQR	UQR1	160	Queries	IntrnalKey, Qcategory	
OCBI	CBI1	161	Central Bank Ind.	Indicator	
OMRV	MRV1	162	Inventory Revaluation	DocEntry	
OCPI	CPI1	163	A/P Correction Invoice	DocEntry	
OCPV	CPV1	164	A/P Correction Invoice Reversal	DocEntry	
OCSI	CSI1	165	A/R Correction Invoice	DocEntry	
OCSV	CSV1	166	A/R Correction Invoice Reversal	DocEntry	
OSCS	SCS1	167	Service Call Statuses	statusID	
OSCT	SCT1	168	Service Call Types	callTypeID	
OSCP	SCP1	169	Service Call Problem Types	prblmTypID	
OCTT	CTT1	170	Contract Template	TmpltName	
OHEM	HEM1	171	Employees	empID	
OHTY	HTY1	172	Employee Types	typeID	
OHST	HST1	173	Employee Status	statusID	
OHTR	HTR1	174	Termination Reason	reasonID	
OHED	HED1	175	Education Types	edType	
OINS	INS1	176	Customer Equipment Card	insID	
OAGP	AGP1	177	Agent Name	AgentCode	
OWHT	WHT1	178	Withholding Tax	WTCode	
ORFL	RFL1	179	Already Displayed 347, 349 and WTax Reports	DocEntry, ReportType, DocType, LineNum, TaxCode, OrdinalNum	
OVTR	VTR1	180	Tax Report	AbsEntry	
OBOE	BOE1	181	Bill of Exchange for Payment	BoeKey	
OBOT	BOT1	182	Bill Of Exchang Transaction	AbsEntry	
OFRM	FRM1	183	File Format	AbsEntry	
OPID	PID1	184	Period Indicator	Indicator	
ODOR	DOR1	185	Doubtful Debts	AbsEntry	
OHLD	HLD1	186	Holiday Table	HldCode	
OCRB	CRB1	187	BP – Bank Account	Country, BankCode, Account, CardCode	
OSST	SST1	188	Service Call Solution Statuses	Number	
OSLT	SLT1	189	Service Call Solutions	SltCode	
OCTR	CTR1	190	Service Contracts	ContractID	
OSCL	SCL1	191	Service Calls	callID	
OSCO	SCO1	192	Service Call Origins	originID	
OUKD	UKD1	193	User Key Description	TableName, KeyId	
OQUE	QUE1	194	Queue	queueID	
OIWZ	IWZ1	195	Inflation Wizard	AbsEntry	
ODUT	DUT1	196	Dunning Terms	TermCode	
ODWZ	DWZ1	197	Dunning Wizard	WizardId	
OFCT	FCT1	198	Sales Forecast	AbsID	
OMSN	MSN1	199	MRP Scenarios	AbsEntry	
OTER	TER1	200	Territories	territryID	
OOND	OND1	201	Industries	IndCode	
OWOR	WOR1	202	Production Order	DocEntry	
ODPI	DPI1	203	A/R Down Payment	DocEntry	
ODPO	DPO1	204	A/P Down Payment	DocEntry	
OPKG	PKG1	205	Package Types	PkgCode	
OUDO	UDO1	206	User-Defined Object	Code	
ODOW	DOW1	207	Data Ownership – Objects	Object, SubObject	
ODOX	DOX1	208	Data Ownership – Exceptions	QueryId, Object, SubObject	
OHPS	HPS1	210	Employee Position	posID	
OHTM	HTM1	211	Employee Teams	teamID	
OORL	ORL1	212	Relationships	OrlCode	
ORCM	RCM1	213	Recommendation Data	DocEntry	
OUPT	UPT1	214	User Autorization Tree	AbsId	
OPDT	PDT1	215	Predefined Text	AbsEntry	
OBOX	BOX1	216	Box Definition	BoxCode, ReportType, BosCode	
OCLA	CLA1	217	Activity Status	statusID	
OCHF	CHF1	218	312	ObjName	
OCSHS	SHS1	219	User-Defined Values	IndexID	
OACP	ACP1	220	Periods Category	AbsEntry	
OATC	ATC1	221	Attachments	AbsEntry	
OGFL	GFL1	222	Grid Filter	FormID, GridID, UserCode	
OLNG	LNG1	223	User Language Table	Code	
OMLT	MLT1	224	Multi-Language Translation	TranEntry	
OAPA3	PA31	225			
OAPA4	PA41	226			
OAPA5	PA51	227			
SDIS	DIS1	229	Dynamic Interface (Strings)	FormId, ItemId, ColumnId, Language	
OSVR	SVR1	230	Saved Reconciliations	acctCode	
DSC1	SC11	231	House Bank Accounts	AbsEntry	
RDOC	DOC1	232	Document	DocCode	
ODGP	DGP1	233	Document Generation Parameter Sets	AbsEntry	
OMHD	MHD1	234	#740	AlertCode	
OACG	ACG1	238	Account Category	AbsId	
OBCA	BCA1	239	Bank Charges Allocation Codes	Code	
OCFT	CFT1	241	Cash Flow Transactions – Rows	CFTId	
OCFW	CFW1	242	Cash Flow Line Item	CFWId	
OBPL	BPL1	247	Business Place	BPLId	
OJPE	JPE1	250	Local Era Calendar	Code	
ODIM	DIM1	251	Cost Accounting Dimension	DimCode	
OSCD	SCD1	254	Service Code Table	AbsEntry	
OSGP	SGP1	255	Service Group for Brazil	AbsEntry	
OMGP	MGP1	256	Material Group	AbsEntry	
ONCM	NCM1	257	NCM Code	AbsEntry	
OCFP	CFP1	258	CFOP for Nota Fiscal	ID	
OTSC	TSC1	259	CST Code for Nota Fiscal	ID	
OUSG	USG1	260	Usage of Nota Fiscal	ID	
OCDP	CDP1	261	Closing Date Procedure	ClsDateNum	
ONFN	NFN1	263	Nota Fiscal Numbering	ObjectCode, DocSubType	
ONFT	NFT1	264	Nota Fiscal Tax Category (Brazil)	AbsId	
OCNT	CNT1	265	Counties	AbsId	
OTCD	TCD1	266	Tax Code Determination	AbsId	
ODTY	DTY1	267	BoE Document Type	AbsEntry	
OPTF	PTF1	268	BoE Portfolio	AbsEntry	
OIST	IST1	269	BoE Instruction	AbsEntry	
OTPS	TPS1	271	Tax Parameter	AbsId	
OTFC	TFC1	275	Tax Type Combination	AbsId	
OFML	FML1	276	Tax Formula Master Table	AbsId	
OCNA	CNA1	278	CNAE Code	AbsId	
OTSI	TSI1	280	Sales Tax Invoice	DocEntry	
OTPI	TPI1	281	Purchase Tax Invoice	DocEntry	
OCCD	CCD1	283	Cargo Customs Declaration Numbers	CCDNum	
ORSC	RSC1	290	Resources	ResCode	
ORSG	RSG1	291	Resource Properties	ResTypCod	
ORSB	RSB1	292	ResGrpCod	ResGrpCod	
OITR	ITR1	321	Internal Reconciliation	ReconNum	
OPOS	POS1	541	POS Master Data	EquipNo	
ODRF	DRF1	1179	Stock Transfer Draft	DocEntry	
OMSG	MSG1	10000105	Messaging Service Settings	USERID	
OBTN	BTN1	10000044	Batch Numbers Master Data	AbsEntry	
OSRN	SRN1	10000045	Serial Numbers Master Data	AbsEntry	
OIVK	IVK1	10000062	IVL Vs OINM Keys	TransSeq	
OIQR	IQR1	10000071	Inventory Posting	DocEntry	
OFYM	FYM1	10000073	Financial Year Master	AbsId	
OSEC	SEC1	10000074	Sections	AbsId	
OCSN	CSN1	10000075	Certificate Series	AbsId	
ONOA	NOA1	10000077	Nature of Assessee	AbsId	
RTYP	TYP1	10000196	Document Type List	CODE	
OUGP	UGP1	10000197	UoM Group	UgpEntry	
OUOM	UOM1	10000199	UoM Master Data	UomEntry	
OBFC	BFC1	10000203	Bin Field Configuration	AbsEntry	
OBAT	BAT1	10000204	Bin Location Attribute	AbsEntry	
OBSL	BSL1	10000205	Warehouse Sublevel	AbsEntry	
OBIN	BIN1	10000206	Bin Location	AbsEntry	
ODNF	DNF1	140000041	DNF Code	AbsEntry	
OUGR	UGR1	231000000	Authorization Group	GroupId	
OEGP	EGP1	234000004	E-Mail Group	EmlGrpCode	
ORRR	RRR1	234000031	Returns Request	DocEntry	
OPRR	PRR1	234000032	Goods Return Request	DocEntry	
OGPC	GPC1	243000001	Government Payment Code	AbsId	
OIQI	IQI1	310000001	Inventory Opening Balance	DocEntry	
OBTW	BTW1	310000008	Batch Attributes in Location	AbsEntry	
OLLF	LLF1	410000005	Legal List Format	AbsEntry	
OHET	HET1	480000001	Object: HR Employee Transfer	TransferID	
OTCX	TCX1	540000005	Tax Code Determination	DocEntry	
OPQT	PQT1	540000006	Purchase Quotation	DocEntry	
ORCP	RCP1	540000040	Recurring Transaction Template	AbsEntry	
OCCT	CCT1	540000042	Cost Center Type	CctCode	
OACR	ACR1	540000048	Accrual Type	Code	
ONFM	NFM1	540000056	Nota Fiscal Model	AbsEntry	
OBFI	BFI1	540000067	Brazil Fuel Indexer	ID	
OBBI	BBI1	540000068	Brazil Beverage Indexer	ID	
OCPT	CPT1	1210000000	Cockpit Main Table	AbsEntry	
OWTQ	WTQ1	1250000001	Inventory Transfer Request	DocEntry	
OOAT	OAT1	1250000025	Blanket Agreement	AbsID	
OKPI	KPI1	1320000000	Key Performance Indicator Package	AbsEntry	
OTGG	TGG1	1320000002	Target Group	TargetCode	
OCPN	CPN1	1320000012	Campaign	CpnNo	
OROC	ROC1	1320000028	Retorno Operation Codes	AbsEntry	
OPSC	PSC1	1320000039	Product Source Code	Code	
ODTP	DTP1	1470000000	Fixed Assets Depreciation Types	Code	
OADT	ADT1	1470000002	Fixed Assets Account Determination	Code	
ODPA	DPA1	1470000003	Fixed Asset Depreciation Areas	Code	
ODPP	DPP1	1470000004	Depreciation Type Pools	Code	
OACS	ACS1	1470000032	Asset Classes	Code	
OAGS	AGS1	1470000046	Asset Groups	Code	
ODMC	DMC1	1470000048	G/L Account Determination Criteria – Inventory	DmcId	
OACQ	ACQ1	1470000049	Capitalization	DocEntry	
OGAR	GAR1	1470000057	G/L Account Advanced Rules	AbsEntry	
OACD	ACD1	1470000060	Credit Memo	DocEntry	
OBCD	BCD1	1470000062	Bar Code Master Data	BcdEntry	
OINC	INC1	1470000065	Inventory Counting	DocEntry	
OEDG	EDG1	1470000077	Discount Groups	AbsEntry	
OCCS	CCS1	1470000092	Cycle Count Determination	WhsCode	
OPRQ	PRQ1	1470000113	Purchase Request	DocEntry	
OWLS	WLS1	1620000000	Workflow – Task Details	TaskID	
